epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4045,1.09966,3.41593,1.62305,0.40517,0.32834,0.3205,0.21589,1.10887,2.23033,1.65545,0.00332172,0.00332172,0.00332172
2,125.879,1.0674,2.03349,1.54609,0.58591,0.41639,0.43843,0.28842,1.1999,2.07577,1.77466,0.00665433,0.00665433,0.00665433
3,187.565,1.17315,2.0105,1.62226,0.50105,0.34436,0.30668,0.17606,1.38196,2.29686,1.91182,0.00998405,0.00998405,0.00998405
4,249.602,1.25078,2.15289,1.70746,0.31537,0.42766,0.34653,0.2056,1.34936,2.17879,1.91405,0.00999023,0.00999023,0.00999023
5,312.303,1.24179,2.03636,1.7021,0.41375,0.36459,0.33257,0.20598,1.30056,2.27554,1.84273,0.00998264,0.00998264,0.00998264
6,375.195,1.19366,1.93229,1.65054,0.38701,0.44004,0.39373,0.25063,1.25829,1.96994,1.79465,0.00997288,0.00997288,0.00997288
7,438.416,1.17642,1.80933,1.62514,0.53758,0.39307,0.38953,0.24169,1.28626,2.10798,1.83612,0.00996097,0.00996097,0.00996097
8,501.756,1.15164,1.75866,1.60787,0.40812,0.42534,0.39845,0.25966,1.25627,2.04316,1.76015,0.0099469,0.0099469,0.0099469
9,565.231,1.13857,1.66383,1.59753,0.51571,0.53568,0.52345,0.34727,1.20518,1.59749,1.7607,0.00993068,0.00993068,0.00993068
10,629.222,1.11896,1.61969,1.56874,0.52312,0.5293,0.52752,0.35151,1.19307,1.56001,1.69074,0.00991232,0.00991232,0.00991232
11,693.009,1.0967,1.56324,1.55602,0.53431,0.52508,0.53817,0.36849,1.16357,1.51576,1.67934,0.00989183,0.00989183,0.00989183
12,757.101,1.08256,1.51265,1.53601,0.56832,0.60786,0.61583,0.42362,1.13825,1.32642,1.65865,0.00986922,0.00986922,0.00986922
13,820.85,1.07079,1.45445,1.51919,0.58501,0.55203,0.58985,0.39296,1.16684,1.411,1.67685,0.00984449,0.00984449,0.00984449
14,884.532,1.06912,1.41094,1.51469,0.58152,0.62857,0.63597,0.44255,1.1077,1.2989,1.62405,0.00981765,0.00981765,0.00981765
15,948.197,1.04852,1.36044,1.4994,0.54794,0.58697,0.59702,0.41187,1.10625,1.41025,1.60855,0.00978873,0.00978873,0.00978873
16,1011.91,1.02345,1.30193,1.47647,0.66288,0.56251,0.61867,0.42253,1.12876,1.33845,1.63852,0.00975773,0.00975773,0.00975773
17,1075.58,1.02779,1.29239,1.48002,0.62896,0.60373,0.63695,0.43522,1.12853,1.28466,1.62712,0.00972466,0.00972466,0.00972466
18,1139.47,1.02623,1.27673,1.47838,0.64894,0.65979,0.68209,0.46333,1.12308,1.18802,1.63419,0.00968955,0.00968955,0.00968955
19,1203.13,1.01012,1.23648,1.4616,0.61573,0.68136,0.69159,0.48367,1.09415,1.1513,1.5885,0.00965239,0.00965239,0.00965239
20,1266.85,0.99641,1.19595,1.44346,0.67533,0.66979,0.70752,0.49132,1.07579,1.12135,1.58846,0.00961322,0.00961322,0.00961322
21,1330.93,0.9981,1.20836,1.45116,0.66736,0.64986,0.68981,0.47774,1.13226,1.13792,1.63821,0.00957205,0.00957205,0.00957205
22,1395.01,0.97859,1.16292,1.43487,0.65019,0.6839,0.69546,0.48844,1.08283,1.11189,1.61328,0.00952889,0.00952889,0.00952889
23,1459.19,0.96474,1.13071,1.41992,0.6814,0.69424,0.72544,0.50494,1.07089,1.06212,1.55499,0.00948377,0.00948377,0.00948377
24,1523.21,0.973,1.13181,1.4299,0.73427,0.69876,0.74853,0.52365,1.10707,1.04357,1.63277,0.00943671,0.00943671,0.00943671
25,1587.73,0.95286,1.08676,1.41331,0.709,0.69168,0.74083,0.51989,1.08744,1.06042,1.60542,0.00938772,0.00938772,0.00938772
26,1651.85,0.94742,1.07776,1.40809,0.72558,0.67247,0.72285,0.50046,1.10992,1.06366,1.61696,0.00933683,0.00933683,0.00933683
27,1716.23,0.94361,1.05876,1.40153,0.73206,0.68388,0.7408,0.53349,1.04173,1.02773,1.55808,0.00928405,0.00928405,0.00928405
28,1780.26,0.93028,1.04248,1.39759,0.73072,0.6777,0.7417,0.521,1.08176,1.03132,1.582,0.00922942,0.00922942,0.00922942
29,1844.72,0.94179,1.03919,1.39319,0.70268,0.72608,0.75552,0.53467,1.07308,0.99927,1.59257,0.00917296,0.00917296,0.00917296
30,1909.04,0.92592,1.00948,1.3861,0.71709,0.6867,0.73865,0.52288,1.0591,1.06189,1.57924,0.00911469,0.00911469,0.00911469
